ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Dosage,Cost per KG,Delivery Status
3441,110-ZM-T01,Pre-PQ Process,SCMS-31390,ASN-3508,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/2/2008,2009-03-18,2009-03-18,18-Mar-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,5500,395945.0,71.99,0.72,Inverness Japan,True,1624.0,12646.15,776.05,,7.787038177339901,On-Time
420,108-VN-T01,Pre-PQ Process,SCMS-19490,ASN-1753,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/2008,2008-06-03,2008-06-03,3-Jun-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,Tablet,30,8400,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,True,654.0,4051.34,154.29,600mg,6.194709480122325,On-Time
8864,109-TZ-T01,Pre-PQ Process,SCMS-36490,ASN-3170,Tanzania,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,12/30/2008,2009-02-23,2009-02-23,23-Feb-09,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,Tablet,120,12500,513750.0,41.1,0.34,ABBVIE Ludwigshafen Germany,True,3088.0,12937.16,1006.95,200/50mg,4.189494818652849,On-Time
1359,108-VN-T01,Pre-PQ Process,SCMS-753,ASN-782,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/4/2007,2007-10-15,2007-10-15,15-Oct-07,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,Tablet - FDC,60,3000,40500.0,13.5,0.22,"Aurobindo Unit III, India",True,332.0,4454.62,64.8,150/300/200mg,13.417530120481928,On-Time
2499,112-NG-T01,Pre-PQ Process,SCMS-42830,ASN-3984,Nigeria,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,4/1/2009,2009-05-20,2009-05-20,20-May-09,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,Tablet,120,73,3000.3,41.1,0.34,ABBVIE Ludwigshafen Germany,True,69.0,1332.43,5.88,200/50mg,19.31057971014493,On-Time
2947,108-VN-T01,Pre-PQ Process,SCMS-14930,ASN-1231,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/5/2007,2008-01-22,2008-01-22,22-Jan-08,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 15mg, capsules, 60 Caps",Stavudine,Generic,Capsule,60,400,600.0,1.5,0.02,"Aurobindo Unit III, India",True,83.0,2426.05,0.96,15mg,29.22951807228916,On-Time
9676,108-VN-T01,Pre-PQ Process,SCMS-20541,ASN-1793,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/10/2008,2008-07-18,2008-06-02,2-Jun-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,Tablet,30,2016,27538.56,13.66,0.46,Mylan (formerly Matrix) Nashik,True,122.0,2867.81,44.06,300mg,23.506639344262293,On-Time
10298,104-CI-T01,Pre-PQ Process,SCMS-39430,ASN-3761,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/24/2009,2009-05-14,2009-05-14,14-May-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,1500,105000.0,70.0,0.7,Inverness Japan,True,341.0,9749.73,205.8,,28.59158357771261,On-Time
9255,108-VN-T01,Pre-PQ Process,SCMS-77,ASN-56,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2006-10-03,2006-10-03,3-Oct-06,ARV,Adult,Aurobindo Pharma Limited,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,Tablet,60,1000,44500.0,44.5,0.74,"Aurobindo Unit III, India",True,91.0,7878.06,,300mg,86.57208791208792,On-Time
9316,102-NG-T01,Pre-PQ Process,SCMS-694,ASN-582,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/6/2007,2007-08-06,2007-08-06,6-Aug-07,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,3500,280000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,True,1192.0,10879.22,448.0,,9.126862416107382,On-Time
3507,133-NG-T01,Pre-PQ Process,SCMS-33830,ASN-3231,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/20/2008,2009-02-05,2009-02-05,5-Feb-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,5259,420720.0,80.0,0.8,Inverness Japan,True,1584.0,22775.45,824.61,,14.378440656565656,On-Time
9499,107-RW-T01,Pre-PQ Process,SCMS-14730,ASN-1067,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12/3/2007,2008-01-03,2008-01-03,3-Jan-08,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,Tablet,30,48259,567043.25,11.75,0.39,"Aurobindo Unit III, India",True,4143.0,19088.86,907.27,600mg,4.60749698286266,On-Time
1628,110-ZM-T01,Pre-PQ Process,SCMS-18030,ASN-1619,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/25/2008,2008-05-14,2008-05-14,14-May-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,6040,193280.0,32.0,1.6,"Trinity Biotech, Plc",True,2052.0,24689.0,309.25,,12.03167641325536,On-Time
6253,139-NA-T01,Pre-PQ Process,SCMS-37070,ASN-3490,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/14/2009,2009-03-13,2009-03-13,13-Mar-09,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,700,22400.0,32.0,1.6,"Trinity Biotech, Plc",True,236.0,6862.01,43.9,,29.076313559322035,On-Time
6488,123-NG-T01,Pre-PQ Process,SCMS-43910,ASN-4959,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/10/2009,2009-10-27,2009-10-27,27-Oct-09,ACT,ACT,MISSIONPHARMA A/S,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",Artemether/Lumefantrine,Coartem,Tablet - FDC + blister,540,2000,70420.0,35.21,0.07,"Novartis Pharma Suffern, USA",True,10.0,14515.44,138.02,20/120mg,1451.544,On-Time
8554,110-ZM-T01,Pre-PQ Process,SCMS-25710,ASN-2843,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/20/2008,2008-11-18,2008-11-18,18-Nov-08,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,Test kit,25,500,10000.0,20.0,0.8,"Standard Diagnostics, Korea",True,157.0,1754.04,19.6,,11.172229299363057,On-Time
2708,108-VN-T01,Pre-PQ Process,SCMS-313,ASN-542,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/7/2007,2007-07-09,2007-07-09,9-Jul-07,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,Tablet - FDC,60,25000,187500.0,7.5,0.12,"Cipla, Goa, India",True,2336.0,21150.56,300.0,150/200/30mg,9.05417808219178,On-Time
2305,131-NG-T01,Pre-PQ Process,SCMS-37370,ASN-3497,Nigeria,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,2/3/2009,2009-04-08,2009-04-08,8-Apr-09,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Atripla,Tablet - FDC,30,25000,1260000.0,50.4,1.68,"MSD, Haarlem, NL",True,2067.0,7933.38,2469.6,600/200/300mg,3.83811320754717,On-Time
5894,108-VN-T01,Pre-PQ Process,SCMS-26170,ASN-2339,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/1/2008,2008-09-03,2008-09-03,3-Sep-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,Tablet,60,15960,38304.0,2.4,0.04,"Aurobindo Unit III, India",True,755.0,6609.02,61.29,150mg,8.753668874172186,On-Time
9086,110-ZM-T01,Pre-PQ Process,SCMS-42640,ASN-4439,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/2/2009,2009-07-23,2009-07-23,23-Jul-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,4500,324000.0,72.0,0.72,Inverness Japan,True,1330.0,11559.65,635.04,,8.691466165413534,On-Time
9531,106-HT-T01,Pre-PQ Process,SCMS-15520,ASN-1199,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2008-01-23,2008-01-23,23-Jan-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,1000,70000.0,70.0,0.7,Inverness Japan,True,228.0,4829.61,112.0,,21.182499999999997,On-Time
92,102-NG-T01,Pre-PQ Process,SCMS-592,ASN-485,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/13/2007,2007-06-19,2007-06-19,19-Jun-07,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,1000,80000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,True,341.0,2682.47,128.0,,7.866480938416422,On-Time
4650,111-MZ-T01,Pre-PQ Process,SCMS-28730,ASN-2658,Mozambique,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/26/2008,2008-11-01,2008-11-01,1-Nov-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,Test kit - Ancillary,100,7690,76.9,0.01,0.0,Inverness Japan,True,2278.0,23743.01,0.15,,10.42274363476734,On-Time
2502,102-KE-T01,Pre-PQ Process,SCMS-42970,ASN-4098,Kenya,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/4/2009,2009-06-18,2009-06-18,18-Jun-09,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,5,160.0,32.0,1.6,"Trinity Biotech, Plc",True,2.0,12561.4,0.31,,6280.7,On-Time
8735,111-MZ-T01,Pre-PQ Process,SCMS-31750,ASN-3507,Mozambique,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/14/2008,2009-04-14,2009-04-14,14-Apr-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,4800,345600.0,72.0,0.72,Inverness Japan,True,1417.0,13093.27,677.38,,9.24013408609739,On-Time
6932,102-NG-T01,Pre-PQ Process,SCMS-16880,ASN-1354,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/7/2008,2008-04-21,2008-02-29,29-Feb-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,Test kit,20,9380,253260.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,True,3058.0,18750.2,405.22,,6.131523871811642,On-Time
796,102-BW-T01,Pre-PQ Process,SCMS-31370,ASN-2796,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/2/2008,2008-11-28,2008-11-28,28-Nov-08,HRDT,HIV test - Ancillary,"Trinity Biotech, Plc","#109436**HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml","HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml",Uni-Gold,Test kit - Ancillary,2,15,450.0,30.0,15.0,"Trinity Biotech, Plc",True,1.0,578.01,0.88,,578.01,On-Time
5175,109-TZ-T01,Pre-PQ Process,SCMS-46500,ASN-4223,Tanzania,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,5/28/2009,2009-07-30,2009-07-30,30-Jul-09,ARV,Adult,Hoffmann-La Roche ltd Basel,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,Invirase,Capsule,270,820,73074.13,89.11,0.33,Roche Basel,True,424.0,3310.89,143.23,200mg,7.808702830188679,On-Time
2536,107-RW-T01,Pre-PQ Process,SCMS-43880,ASN-4462,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,4/15/2009,2009-07-20,2009-07-20,20-Jul-09,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,Tablet - FDC,60,26932,317528.28,11.79,0.2,Mylan (formerly Matrix) Nashik,True,3393.0,30661.5,622.36,150/300/200mg,9.036693191865606,On-Time
5352,102-GY-T01,Pre-PQ Process,SCMS-765,ASN-575,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/6/2007,2007-08-07,2007-08-07,7-Aug-07,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,1500,48000.0,32.0,1.6,"Trinity Biotech, Plc",True,515.0,8576.8,76.8,,16.65398058252427,On-Time
4045,109-TZ-T01,Pre-PQ Process,SCMS-10340,ASN-2700,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,9/17/2008,2008-11-19,2008-11-19,19-Nov-08,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",True,3112.0,22856.02,392.0,,7.344479434447301,On-Time
5794,108-VN-T01,Pre-PQ Process,SCMS-23350,ASN-2489,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,5/13/2008,2008-11-16,2008-11-16,16-Nov-08,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,Tablet,120,1040,85488.0,82.2,0.68,ABBVIE Ludwigshafen Germany,True,251.0,2519.89,136.78,200/50mg,10.039402390438246,On-Time
8996,106-HT-T01,Pre-PQ Process,SCMS-39940,ASN-3753,Haiti,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,3/4/2009,2009-04-15,2009-04-15,15-Apr-09,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,Tablet,60,14,143.92,10.28,0.17,ABBVIE Ludwigshafen Germany,True,7.0,810.36,0.28,100/25mg,115.76571428571428,On-Time
2808,117-ET-T01,Pre-PQ Process,SCMS-11071,ASN-1039,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/3/2007,2007-11-20,2007-12-24,24-Dec-07,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,Capsule,60,35065,54350.75,1.55,0.03,"Aurobindo Unit III, India",True,2318.0,6755.81,86.96,30mg,2.9144995685936155,Late
3419,104-CI-T01,Pre-PQ Process,SCMS-30420,ASN-2992,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,9/18/2008,2008-12-12,2008-12-12,12-Dec-08,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,Test kit,40,862,65512.0,76.0,1.9,Bio-Rad Laboratories,True,963.0,25080.52,128.4,,26.044153686396676,On-Time
6450,104-CI-T01,Pre-PQ Process,SCMS-42590,ASN-4326,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/27/2009,2009-07-14,2009-07-14,14-Jul-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,800,56000.0,70.0,0.7,Inverness Japan,True,182.0,3272.6,109.76,,17.98131868131868,On-Time
8648,133-NG-T01,Pre-PQ Process,SCMS-28870,ASN-2794,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/26/2008,2009-01-15,2008-11-20,20-Nov-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,Test kit,20,10594,286038.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,True,3039.0,24025.77,560.63,,7.905814412635736,On-Time
4818,117-ET-T01,Pre-PQ Process,SCMS-34310,ASN-3234,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/24/2008,2009-01-27,2009-01-27,27-Jan-09,HRDT,HIV test - Ancillary,"Orgenics, Ltd","Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs","HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",Determine,Test kit - Ancillary,100,10000,80000.0,8.0,0.08,Inverness Japan,True,400.0,4856.14,156.8,,12.140350000000002,On-Time
8892,108-VN-T01,Pre-PQ Process,SCMS-37200,ASN-3630,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/16/2009,2009-04-09,2009-04-09,9-Apr-09,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,Tablet,60,168,1260.0,7.5,0.12,Mylan (formerly Matrix) Nashik,True,9.0,2793.62,2.47,300mg,310.40222222222224,On-Time
9673,108-VN-T01,Pre-PQ Process,SCMS-20520,ASN-1794,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/2008,2008-06-02,2008-06-02,2-Jun-08,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 100mg, capsules, 100 Caps",Zidovudine,Generic,Capsule,100,1400,7686.0,5.49,0.05,"Aurobindo Unit III, India",True,106.0,2869.03,12.3,100mg,27.066320754716983,On-Time
1972,117-ET-T01,Pre-PQ Process,SCMS-27800,ASN-2592,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/30/2008,2008-11-03,2008-10-13,13-Oct-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,Test kit,20,5958,160866.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,True,2147.0,11066.17,257.39,,5.154247787610619,On-Time
8692,131-NG-T01,Pre-PQ Process,SCMS-30500,ASN-2896,Nigeria,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,9/23/2008,2009-03-10,2008-11-24,24-Nov-08,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Atripla,Tablet - FDC,30,2000,100800.0,50.4,1.68,"MSD, Haarlem, NL",True,169.0,924.4,197.57,600/200/300mg,5.4698224852071,On-Time
9353,102-BW-T01,Pre-PQ Process,SCMS-10390,ASN-644,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/31/2007,2007-08-31,2007-08-31,31-Aug-07,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,Test kit,100,10,3500.0,350.0,3.5,"Pacific Biotech, Thailand",True,24.0,1091.64,5.6,,45.48500000000001,On-Time
4301,110-ZM-T01,Pre-PQ Process,SCMS-18240,ASN-1788,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/29/2008,2008-06-06,2008-06-06,6-Jun-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,4300,309557.0,71.99,0.72,Inverness Japan,True,979.0,8690.26,495.29,,8.876670071501533,On-Time
1645,104-CI-T01,Pre-PQ Process,SCMS-18470,ASN-2887,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/29/2008,2008-12-19,2008-12-19,19-Dec-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,1116,78120.0,70.0,0.7,Inverness Japan,True,256.0,7118.12,153.12,,27.80515625,On-Time
399,102-GY-T01,Pre-PQ Process,SCMS-18500,ASN-2117,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/2008,2008-07-28,2008-07-28,28-Jul-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,Test kit - Ancillary,100,213,2.13,0.01,0.0,Inverness Japan,True,14.0,360.0,0.0,,25.714285714285715,On-Time
8802,109-TZ-T01,Pre-PQ Process,SCMS-34430,ASN-3699,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/2/2008,2009-05-17,2009-05-17,17-May-09,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,839,26848.0,32.0,1.6,"Trinity Biotech, Plc",True,277.0,3146.63,52.62,,11.359675090252708,On-Time
9243,104-CI-T01,Pre-PQ Process,SCMS-29,ASN-114,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2006-10-10,2006-10-10,10-Oct-06,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,Test kit,40,733,55231.55,75.35,1.88,Bio-Rad Laboratories,True,783.0,7079.25,,,9.041187739463602,On-Time
5857,107-RW-T01,Pre-PQ Process,SCMS-25140,ASN-2116,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/12/2008,2008-07-22,2008-07-22,22-Jul-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,4327,302890.0,70.0,0.7,Inverness Japan,True,986.0,26574.61,484.62,,26.951937119675456,On-Time
138,109-TZ-T01,Pre-PQ Process,SCMS-10270,ASN-710,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2007-10-16,2007-10-16,16-Oct-07,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",True,3335.0,27869.74,320.0,,8.356743628185907,On-Time
2503,102-KE-T01,Pre-PQ Process,SCMS-42970,ASN-4099,Kenya,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/4/2009,2009-06-18,2009-06-18,18-Jun-09,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,4995,159840.0,32.0,1.6,"Trinity Biotech, Plc",True,4995.0,275.0,313.29,,0.055055055055055056,On-Time
5199,141-NA-T01,Pre-PQ Process,SCMS-47160,ASN-4663,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/4/2009,2009-09-01,2009-09-01,1-Sep-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Clearview Complete Kit, 25 Tests","HIV 1/2, Clearview Complete Kit",Clearview,Test kit,25,4,300.0,75.0,3.0,Chembio Diagnostics Sys. Inc.,True,4.0,133.25,0.59,,33.3125,On-Time
130,100-HT-T01,Pre-PQ Process,SCMS-10080,ASN-628,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/26/2007,2007-08-13,2007-08-21,21-Aug-07,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,750,53992.5,71.99,0.72,Inverness Japan,True,171.0,3518.38,86.39,,20.5753216374269,Late
